82, 60, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Rechargeable AA batteries, USB, ]


82, 60, [water pump, PVC elbow joint, Ball valve, Kaplan Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, 18650 battery, USB, ]


82, 60, [water pump, PVC elbow joint, Adjustable clamp, Pelton Wheel Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 60, [water pump, PVC elbow joint, Ball valve, Pelton Wheel Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 61, [water pump, PVC elbow joint, Ball valve, Crossflow Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 62, [water pump, PVC elbow joint, Ball valve, Pelton Wheel Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Lithium-ion battery, USB, ]


82, 62, [water pump, PVC elbow joint, Flow restrictor, Pelton Wheel Turbine, Gravity-fed return system, motor, Full-Wave Rectifier Circuit, Lithium-ion battery, USB, ]


82, 63, [water pump, PVC elbow joint, Adjustable clamp, Francis Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 63, [water pump, PVC elbow joint, Adjustable clamp, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


82, 63, [water pump, PVC elbow joint, Ball valve, Francis Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, 18650 battery, USB, ]


82, 63, [water pump, PVC elbow joint, Ball valve, Francis Turbine, PVC pipe outlet, motor, Full-Wave Rectifier Circuit, Supercapacitor, USB, ]


82, 65, [water pump, PVC elbow joint, Ball valve, Francis Turbine, Gravity-fed return system, motor, Capacitor-Input Filter Circuit, Supercapacitor, USB, ]


82, 65, [water pump, PVC elbow joint, Adjustable clamp, Kaplan Turbine, Gravity-fed return system, motor, Bridge Rectifier Circuit, Supercapacitor, USB, ]


82, 65, [water pump, PVC elbow joint, Adjustable clamp, Kaplan Turbine, PVC pipe outlet, motor, Bridge Rectifier Circuit, Lithium-ion battery, USB, ]


